id,category,category_label,topic,difficulty,question,options,answer,solution,source_repo,source_file
quantitative-aptitude-basic-profit-and-loss-0011,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Profit and Loss,basic,A book is bought for $100 and sold for $120. Find the profit percentage.,20% | 25% | 17% | 40%,20%,Profit = Selling Price - Cost Price = 120 - 100 = 20. Profit % = (Profit / Cost Price) × 100 = (20 / 100) × 100 = 20%.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-profit-and-loss-0012,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Profit and Loss,basic,An item is sold for $150 at a loss of $30. What is the cost price?,$180 | $185 | $177 | $360,$180,Cost Price = Selling Price + Loss = 150 + 30 = 180.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-profit-and-loss-0013,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Profit and Loss,basic,"If the cost price of an item is $200 and profit is 25%, find the selling price.",$250 | $255 | $247 | $500,$250,Profit = 25% of 200 = 0.25 × 200 = 50. Selling Price = Cost Price + Profit = 200 + 50 = 250.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-profit-and-loss-0014,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Profit and Loss,basic,A pen is sold for $8 at a loss of 20%. Find the cost price.,$10 | $15 | $7 | $20,$10,"Let Cost Price be \( x \). Then, Selling Price = 80% of \( x \). \( 0.8x = 8 \), so \( x = 8 / 0.8 = 10 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-profit-and-loss-0015,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Profit and Loss,basic,"If an article is sold for $300 with a 50% profit, what is the cost price?",$200 | $205 | $197 | $400,$200,"Let Cost Price be \( x \). Then, Selling Price = \( x + 0.5x = 1.5x \). \( 1.5x = 300 \), so \( x = 300 / 1.5 = 200 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-profit-and-loss-0016,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Profit and Loss,basic,A shirt is bought for $50 and sold for $60. What is the profit percentage?,20% | 25% | 17% | 40%,20%,Profit = 60 - 50 = 10. Profit % = (10 / 50) × 100 = 20%.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-profit-and-loss-0017,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Profit and Loss,basic,"If the selling price is $90 and loss is 10%, find the cost price.",$100 | $105 | $97 | $200,$100,"Let Cost Price be \( x \). Then, \( 0.9x = 90 \). \( x = 90 / 0.9 = 100 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-profit-and-loss-0018,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Profit and Loss,basic,An item is bought for $400 and sold at a 15% profit. Find the selling price.,$460 | $465 | $457 | $920,$460,Profit = 15% of 400 = 0.15 × 400 = 60. Selling Price = 400 + 60 = 460.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-profit-and-loss-0019,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Profit and Loss,basic,A watch is sold for $200 at a 25% loss. What is the cost price?,$266.67 | $269.17 | $265.17 | $320,$266.67,"Let Cost Price be \( x \). Then, \( 0.75x = 200 \). \( x = 200 / 0.75 = 800 / 3 \approx 266.67 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-profit-and-loss-0020,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Profit and Loss,basic,"If profit is $40 and cost price is $160, find the profit percentage.",25% | 30% | 22% | 50%,25%,Profit % = (40 / 160) × 100 = 25%.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-work-0021,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Work,basic,A can do a work in 10 days. How much work does A do in 1 day?,1/10 | 3/10 | 2/10 | 31/10,1/10,Work done by A in 1 day = 1/10.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-work-0022,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Work,basic,B completes a task in 15 days. What is B’s work rate per day?,1/15 | 3/15 | 2/15 | 31/15,1/15,Work rate = 1/15.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-work-0023,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Work,basic,"If C can finish a job in 20 days, how many days will C take to do 1/4 of the job?",5 days | 7 days | 2 days | 10 days,5 days,Work rate of C = 1/20 per day. For 1/4 of the job: Time = (1/4) / (1/20) = 1/4 × 20 = 5 days.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-work-0024,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Work,basic,A worker can paint a wall in 12 hours. How much of the wall is painted in 3 hours?,1/4 | 3/4 | 2/4 | 31/4,1/4,Work rate = 1/12 per hour. Work done in 3 hours = 3 × (1/12) = 3/12 = 1/4.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-work-0025,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Work,basic,"If a machine can produce 100 units in 5 hours, how many units does it produce in 1 hour?",20 units | 25 units | 17 units | 40 units,20 units,Production rate = 100 / 5 = 20 units per hour.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-work-0026,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Work,basic,A can do a work in 8 days. How many days will A take to complete half the work?,4 days | 6 days | 1 days | 8 days,4 days,Work rate = 1/8 per day. For half the work: Time = (1/2) / (1/8) = 1/2 × 8 = 4 days.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-work-0027,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Work,basic,"If 6 workers complete a task in 12 days, how many days will 1 worker take?",72 days | 77 days | 69 days | 144 days,72 days,Total work = 6 × 12 = 72 worker-days. 1 worker’s time = 72 / 1 = 72 days.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-work-0028,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Work,basic,A job is done by D in 30 days. What fraction of the job is done in 10 days?,1/3 | 3/3 | 2/3 | 31/3,1/3,Work rate = 1/30 per day. Work done in 10 days = 10 × (1/30) = 10/30 = 1/3.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-work-0029,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Work,basic,"If E can build a wall in 25 days, how long will it take to build 2/5 of the wall?",10 days | 15 days | 7 days | 20 days,10 days,Work rate = 1/25 per day. Time for 2/5 of the work = (2/5) / (1/25) = 2/5 × 25 = 10 days.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-work-0030,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Work,basic,A printer prints 200 pages in 4 hours. How many pages does it print in 1 hour?,50 pages | 55 pages | 47 pages | 100 pages,50 pages,Printing rate = 200 / 4 = 50 pages per hour.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-distance-0031,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Distance,basic,A car travels 300 km in 5 hours. What is its speed?,60 km/h | 65 km/h | 57 km/h | 120 km/h,60 km/h,Speed = Distance / Time = 300 / 5 = 60 km/h.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-distance-0032,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Distance,basic,A train covers 120 km at a speed of 40 km/h. How long does it take?,3 hours | 5 hours | 1 hours | 6 hours,3 hours,Time = Distance / Speed = 120 / 40 = 3 hours.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-distance-0033,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Distance,basic,A cyclist travels at 15 km/h. How far does she travel in 4 hours?,60 km | 65 km | 57 km | 120 km,60 km,Distance = Speed × Time = 15 × 4 = 60 km.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-distance-0034,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Distance,basic,A bus travels 200 km in 4 hours. What is its speed in km/h?,50 km/h | 55 km/h | 47 km/h | 100 km/h,50 km/h,Speed = 200 / 4 = 50 km/h.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-distance-0035,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Distance,basic,"If a person walks 24 km in 6 hours, what is the speed?",4 km/h | 6 km/h | 1 km/h | 8 km/h,4 km/h,Speed = 24 / 6 = 4 km/h.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-distance-0036,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Distance,basic,A car travels at 60 km/h. How long does it take to cover 180 km?,3 hours | 5 hours | 1 hours | 6 hours,3 hours,Time = 180 / 60 = 3 hours.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-distance-0037,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Distance,basic,A bike travels 50 km at 25 km/h. Find the time taken.,2 hours | 4 hours | 1 hours | 32 hours,2 hours,Time = 50 / 25 = 2 hours.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-distance-0038,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Distance,basic,A runner covers 12 km in 2 hours. What is the speed?,6 km/h | 11 km/h | 3 km/h | 12 km/h,6 km/h,Speed = 12 / 2 = 6 km/h.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-distance-0039,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Distance,basic,A vehicle travels 400 km in 8 hours. What is its speed?,50 km/h | 55 km/h | 47 km/h | 100 km/h,50 km/h,Speed = 400 / 8 = 50 km/h.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-time-and-distance-0040,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Time and Distance,basic,"If a train travels at 80 km/h, how far does it go in 3 hours?",240 km | 245 km | 237 km | 480 km,240 km,Distance = 80 × 3 = 240 km.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-ratios-and-proportions-0041,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Ratios and Proportions,basic,"If the ratio of two numbers is 2:3 and their sum is 50, find the numbers.",20 and 30 | 25 and 30 | 17 and 30 | 40 and 30,20 and 30,"Let the numbers be \( 2x \) and \( 3x \). \( 2x + 3x = 50 \), so \( 5x = 50 \), \( x = 10 \). Numbers are \( 2x = 20 \), \( 3x = 30 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-ratios-and-proportions-0042,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Ratios and Proportions,basic,Divide $120 in the ratio 3:5.,$45 and $75 | $50 and $75 | $42 and $75 | $90 and $75,$45 and $75,Total parts = 3 + 5 = 8. First part = (3/8) × 120 = 45. Second part = (5/8) × 120 = 75.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-ratios-and-proportions-0043,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Ratios and Proportions,basic,"If A:B = 4:7 and B = 14, find A.",8 | 13 | 5 | 16,8,"Let A = \( 4x \), B = \( 7x \). Given \( 7x = 14 \), so \( x = 2 \). A = \( 4x = 4 \times 2 = 8 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-ratios-and-proportions-0044,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Ratios and Proportions,basic,"The ratio of ages of two people is 5:6. If the sum of their ages is 44, find their ages.",20 and 24 years | 25 and 24 years | 17 and 24 years | 40 and 24 years,20 and 24 years,"Let ages be \( 5x \) and \( 6x \). \( 5x + 6x = 44 \), so \( 11x = 44 \), \( x = 4 \). Ages are \( 5x = 20 \), \( 6x = 24 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-ratios-and-proportions-0045,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Ratios and Proportions,basic,"If 2:5 :: x:20, find x.",8 | 13 | 5 | 16,8,"For proportions, \( 2/5 = x/20 \). \( x = (2 \times 20) / 5 = 40 / 5 = 8 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-ratios-and-proportions-0046,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Ratios and Proportions,basic,Divide 180 in the ratio 1:2:3.,"30, 60, 90 | 35, 60, 90 | 27, 60, 90 | 60, 60, 90","30, 60, 90",Total parts = 1 + 2 + 3 = 6. First part = (1/6) × 180 = 30. Second part = (2/6) × 180 = 60. Third part = (3/6) × 180 = 90.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-ratios-and-proportions-0047,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Ratios and Proportions,basic,"If the ratio of two quantities is 3:4 and the smaller quantity is 12, find the larger quantity.",16 | 21 | 13 | 32,16,"Let smaller quantity = \( 3x \), larger = \( 4x \). Given \( 3x = 12 \), so \( x = 4 \). Larger quantity = \( 4x = 4 \times 4 = 16 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-ratios-and-proportions-0048,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Ratios and Proportions,basic,"If A:B = 2:3 and B:C = 4:5, find A:C.",8:15 | 13:15 | 5:15 | 16:15,8:15,"Make B common. B = 3 in A:B, B = 4 in B:C. LCM of 3 and 4 = 12. A:B = 2:3 = 8:12 (multiply by 4). B:C = 4:5 = 12:15 (multiply by 3). A:B:C = 8:12:15, so A:C = 8:15.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-ratios-and-proportions-0049,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Ratios and Proportions,basic,"If 3:8 :: 12:x, find x.",32 | 37 | 29 | 64,32,"\( 3/8 = 12/x \), so \( x = (8 \times 12) / 3 = 96 / 3 = 32 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-ratios-and-proportions-0050,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Ratios and Proportions,basic,The ratio of two numbers is 7:9 and their difference is 14. Find the numbers.,49 | 54 | 46 | 98,49,"Let numbers be \( 7x \) and \( 9x \). \( 9x - 7x = 14 \), so \( 2x = 14 \), \( x = 7 \). Numbers are \( 7x = 49 \times 7 = 63 \), \( 9x = 63 \). Smaller number = 49.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-averages-0051,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Averages,basic,"Find the average of 10, 20, 30, 40.",25 | 30 | 22 | 50,25,Average = (10 + 20 + 30 + 40) / 4 = 100 / 4 = 25.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-averages-0052,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Averages,basic,The average of 5 numbers is 50. Find their sum.,250 | 255 | 247 | 500,250,Sum = 5 × 50 = 250.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-averages-0053,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Averages,basic,The average of 3 numbers is 15. What is their sum?,45 | 50 | 42 | 90,45,Sum = 3 \times 15 = 45.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-averages-0054,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Averages,basic,"Find the average of 12, 18, 24.",18 | 23 | 15 | 36,18,Average = (12 + 18 + 24) / 3 = 54. / 3 = 18.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-averages-0055,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Averages,basic,"If the average of 4 numbers is 25, what is the sum of the numbers?",100 | 105 | 97 | 200,100,Sum = 4 × 25 = 100.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-averages-0056,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Averages,basic,"The average of 7, 14, and 21 is what?",14 | 19 | 11 | 28,14,Average = (7 + 14 + 21) / 3 = 42 / 3 = 14.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-averages-0057,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Averages,basic,"The average of 5 scores is 20. If one score is 30, what is the sum of the other 4 scores?",70 | 75 | 67 | 140,70,Total sum = 5 × 20 = 100. Sum of other 4 scores = 100 − 30 = 70.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-averages-0058,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Averages,basic,"Find the average of 5, 10, 15, 20, 25.",15 | 20 | 12 | 30,15,Average = (5 + 10 + 15 + 20 + 25) / 5 = 75 / 5 = 15.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-averages-0059,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Averages,basic,"The average of 6 numbers is 12. If one number is 18, what is the average of the remaining 5 numbers?",10.8 | 13.3 | 9.3 | 12.96,10.8,Total sum = 6 \times 12 = 72. Sum of 5 numbers = 72 − 18 = 54. Average = 54 / 5 = 10.8.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-averages-0060,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Averages,basic,The average of 4 weights is 50 kg. What is their total weight?,200 kg | 205 kg | 197 kg | 400 kg,200 kg,Total weight = 4 × 50 = 200 kg.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-simple-interest-0061,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Simple Interest,basic,Find the simple interest on $1000 at 5% per annum for 2 years.,$100 | $105 | $97 | $200,$100,Simple Interest = (Principal × Rate × Time) / 100 = (1000 × \5 \times 100) = 100.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-simple-interest-0062,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Simple Interest,basic,Calculate the simple interest on $500 at 4% for 3 years.,$60 | $65 | $57 | $120,$60,SI = (500 \times 4 \times 3) / 100 = 60.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-simple-interest-0063,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Simple Interest,basic,"If the simple interest on a sum is $120 at 6% for 2 years, find the principal.",$1000 | $1005 | $997 | $2000,$1000,"SI = (Principal × Rate × Time) / 100. \( 120 = (P \times 6 \times 2) / 100 \), so \( 120 = P \times 12 / 100 \). \( P = (120 \times 100) / 12 = 1000 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-simple-interest-0064,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Simple Interest,basic,Find the simple interest on $2000 at 3% per annum for 5 years.,$300 | $305 | $297 | $600,$300,SI = (2000 \times 3 \times 5) / 100 = 300 \).,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-simple-interest-0065,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Simple Interest,basic,What is the rate if simple interest on $400 is $80 for 4 years?,5% | 7% | 2% | 10%,5%,"\( 80 = (400 \times R \times 4) / 100 \), so \( 80 = (400 \times R \times 4 / 100 \). \( R = (80 \times 100) / (400 \times 4) = 8000 / 1600 = 5 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
